Library Version = 7.0

Number of Alloys = 482

Index, Alloy Name,Bal,,Be,,B,,C,,Mg,,Al,,Si,,P,,S,,Ti,,V,,Cr,,Mn,,Fe,,Co,,Ni,,Cu,,Zn,,Se,,Zr,,Nb,,Mo,,Pd,,Ag,,Sn,,Sb,,Hf,,Ta,,W,,Re,,Pb,,Bi,,
,,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,
9,LA-1330/40/45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280000,0.480000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.040000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.600000,1.900000,96.000000,99.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
10,LA-3115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130000,0.180000,0.000000,0.000000,0.000000,0.000000,0.200000,0.350000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.550000,0.750000,0.400000,0.600000,95.500000,98.000000,0.000000,0.000000,1.100000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
11,LA-3310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,1.400000,1.750000,0.300000,0.600000,92.500000,95.000000,0.000000,0.000000,3.250000,3.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
12,LA-4130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280000,0.330000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.800000,1.100000,0.400000,0.600000,95.500000,98.199997,0.000000,0.000000,0.000000,0.250000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,
13,LA-4140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,0.430000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.800000,1.100000,0.750000,1.000000,96.500000,98.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,
14,LA-41L40/50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,0.520000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,1.100000,0.750000,1.000000,96.000000,98.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.500000,0.000000,0.000000,
15,LA-4330V,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280000,0.330000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.100000,0.750000,1.000000,0.600000,1.100000,93.000000,96.000000,0.000000,0.000000,1.650000,2.000000,0.000000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
16,LA-4340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,0.430000,0.000000,0.000000,0.000000,0.000000,0.150000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.900000,0.600000,0.800000,92.500000,96.000000,0.000000,0.000000,1.650000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,LA-4615/20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130000,0.220000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.450000,0.650000,95.000000,98.000000,0.000000,0.000000,1.650000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18,LA-4820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180000,0.230000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.700000,93.500000,96.000000,0.000000,0.000000,3.250000,3.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
